player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100485,Tsuyoshi,Fukui,R,19570622.0,JPN,170.0,Q7850370
100486,Christophe,Roger-Vasselin,R,19570708.0,FRA,188.0,Q2966474
100487,Renald,Etienne,R,19570714.0,USA,175.0,
100488,Chris,Delaney,R,19570716.0,USA,,Q5106380
100489,Larry,Stefanki,R,19570723.0,USA,178.0,Q463719
100490,Jaroslav,Navratil,R,19570724.0,CZE,196.0,Q1683632
100491,Alan,Chandronnait,R,19570731.0,USA,,
100492,John,Austin,R,19570731.0,USA,193.0,Q3180953
100493,Eric,Sherbeck,R,19570807.0,USA,193.0,Q23039442
100494,John,Picken,R,19570809.0,CAN,,
100495,Wayne,Hampson,R,19570823.0,AUS,183.0,Q7976297
100496,Charles Buzz,Strode,R,19570905.0,USA,183.0,
100497,Markus,Gunthardt,R,19570910.0,SUI,178.0,Q1412218
100498,Klaus,Eberhard,R,19570915.0,GER,,Q1563179
100499,Chris,Mayotte,R,19570916.0,USA,186.0,Q1077521
100500,Rohun,Beven,R,19570921.0,GBR,,
100501,Gregoire,Rafaitin,R,19570926.0,FRA,180.0,
100502,Vincent,Van Patten,R,19571017.0,USA,180.0,Q3559869
100503,Lorenzo,Fargas,R,19571019.0,ESP,173.0,Q54860943
100504,Jerome,Vanier,L,19571102.0,FRA,175.0,Q56434243
100505,Famiano,Meneschincheri,R,19571113.0,ITA,,Q107258227
100506,Howard,Schoenfield,R,19571115.0,USA,,Q16269511
100507,Curt,Stalder,R,19571120.0,USA,,
100508,Peter,Spang,R,19571120.0,GER,,
100509,Joakim,Berner,R,19571121.0,FIN,178.0,
100510,Franco,Merlone,R,19571216.0,ITA,,Q107258417
100511,Kevin,Manning,R,19571218.0,USA,175.0,
100512,Robert,Reininger,R,19580101.0,AUT,185.0,Q24005180
100513,Hugo,Roverano,R,19580103.0,URU,,Q87093738
100514,Manfred,Jungnitsch,R,19580103.0,GER,,
100515,Shlomo,Glickstein,R,19580106.0,ISR,188.0,Q2587010
100516,Andrew,Jarrett,R,19580109.0,GBR,,Q4757490
100517,Matt,Doyle,R,19580113.0,USA,193.0,Q6788580
100518,Ricardo,Acuna,R,19580113.0,CHI,175.0,Q2742001
100519,Scott,Mccain,R,19580115.0,USA,180.0,
100520,Juan,Farrow,R,19580118.0,USA,180.0,Q27049872
100521,Doug,Adler,L,19580120.0,USA,,
100522,Chris,Dunk,R,19580123.0,USA,193.0,Q5106453
100523,Erick,Iskersky,R,19580125.0,USA,180.0,Q5388163
100524,Shozo,Shiraishi,R,19580127.0,JPN,,Q11580192
100525,Gilles,Moretton,R,19580210.0,FRA,190.0,Q3106414
100526,Ricardo,Ycaza,R,19580216.0,ECU,183.0,Q3430343
100527,Chris,Bradnam,R,19580226.0,GBR,,
100528,Randy,Druz,R,19580226.0,USA,,
100529,Kevin,Curren,R,19580302.0,USA,185.0,Q53400
100530,Andreas,Maurer,R,19580308.0,GER,175.0,Q96378
100531,Arnaud,Decugis,R,19580325.0,FRA,,
100532,Johan,Kriek,R,19580405.0,USA,175.0,Q54530
100533,Paul,Avis,R,19580414.0,RSA,,
100534,Steve,Meister,R,19580421.0,USA,193.0,Q7613355
100535,Tony,Giammalva,R,19580421.0,USA,190.0,Q2442549
100536,Fernando,Luna,R,19580424.0,ESP,175.0,Q552502
100537,Mike,Brunnberg,R,19580504.0,USA,190.0,Q19953072
100538,Alejandro,Gattiker,R,19580505.0,ARG,180.0,Q8194064
100539,Rick,Meyers,R,19580514.0,USA,173.0,
100540,Drew,Gitlin,R,19580526.0,USA,178.0,Q742393
100541,Jan,Kallquist,R,19580531.0,SWE,,
100542,Geoff,Macdonald,R,19580605.0,USA,,Q5534214
100543,Peter,Elter,R,19580610.0,GER,178.0,Q7173851
100544,Tony,Mmoh,R,19580614.0,NGR,178.0,Q2442732
100545,Deon,Joubert,L,19530619.0,RSA,,Q18340778
100546,Eric,Fromm,R,19580627.0,USA,178.0,Q3056270
100547,Rocky,Royer,R,19580627.0,USA,,Q54614192
100548,Ivan,Kley,R,19580629.0,BRA,183.0,Q10304381
100549,Jeff,Lee,R,19580702.0,USA,,
100550,Brad,Guan,R,19580710.0,AUS,,Q4953964
